drug_name,dosage,frequency,use,side_effects,substitutes,chemical_class,therapeutic_class,habit_forming,warnings
Abacavir,300 mg,2 times daily,HIV,Nausea;Headache;Fatigue;Hypersensitivity reaction,Ziagen;Abac,Non-nucleoside reverse transcriptase inhibitor,Antiviral,false,Screen for HLA-B*5701 allele to avoid hypersensitivity;Do not restart if reaction occurs
Zidovudine,300 mg,2 times daily,HIV,Anemia;Nausea;Headache;Lipodystrophy,Retrovir;Zidovudine,Nucleoside reverse transcriptase inhibitor,Antiviral,false,Monitor blood counts;Can cause lactic acidosis
Stavudine,40 mg,2 times daily,HIV,Peripheral neuropathy;Pancreatitis;Lipodystrophy,Zerit;Stavudine,Nucleoside reverse transcriptase inhibitor,Antiviral,false,Use only if no alternatives;Monitor for toxicity
Didanosine,400 mg,Once daily,HIV,Pancreatitis;Peripheral neuropathy;Lactic acidosis,Videx;Didanosine,Nucleoside reverse transcriptase inhibitor,Antiviral,false,Take on empty stomach;Monitor for pancreatitis
Emtricitabine,200 mg,Once daily,HIV;Hepatitis B,Headache;Diarrhea;Skin hyperpigmentation,Emtriva;Emcure,Nucleoside reverse transcriptase inhibitor,Antiviral,false,Also active against hepatitis B;Generally well-tolerated
Ceftriaxone,1 gm,Once daily,Severe bacterial infections;Meningitis;Gonorrhea,Diarrhea;Allergic reactions;Pain at injection site,Rocephin;Ceftrix,Cephalosporin,Antibiotic,false,Monitor for bleeding tendency;Adjust dose in renal impairment
Gentamicin,80 mg,2-3 times daily,Severe bacterial infections;Septicemia,Kidney damage;Hearing loss;Dizziness,Garamycin;Genticyn,Aminoglycoside,Antibiotic,false,Monitor blood levels;Risk of nephrotoxicity and ototoxicity
Meropenem,1 gm,3 times daily,Severe bacterial infections;Intra-abdominal infections,Seizures;Diarrhea;Allergic reactions,Merrem;Meronem,Carbapenem,Antibiotic,false,Use with caution in CNS disorders;Adjust dose in renal impairment
Linezolid,600 mg,2 times daily,Resistant bacterial infections;MRSA,Bone marrow suppression;Peripheral neuropathy;Serotonin syndrome,Zyvox;Linzolid,Oxazolidinone,Antibiotic,false,Monitor blood counts;Avoid tyramine-rich foods
Clindamycin,300 mg,4 times daily,Bacterial infections;Acne;Dental infections,Diarrhea;C. difficile infection;Nausea,Cleocin;Dalacin,Lincosamide,Antibiotic,false,High risk of C. diff;Discontinue if severe diarrhea occurs
Chloramphenicol,250 mg,4 times daily,Severe infections;Typhoid fever,Bone marrow suppression;Gray baby syndrome,Chloromycetin;Kemicetine,Amphenicol,Antibiotic,false,Monitor blood counts;Reserve for serious infections
Tetracycline,250 mg,4 times daily,Acne;Cholera;Lyme disease,Tooth discoloration;Photosensitivity;Liver damage,Achromycin;Tetracyn,Tetracycline,Antibiotic,false,Avoid in pregnancy and children;Use sunscreen
Colistin,1 million units,3 times daily,Resistant Gram-negative infections,Kidney damage;Neurotoxicity;Dizziness,Coly-Mycin;Polymyxin E,Polymyxin,Antibiotic,false,Monitor renal function;Reserve for multidrug-resistant infections
Fosfomycin,3 gm,Single dose,Uncomplicated urinary tract infections,Diarrhea;Nausea;Headache,Monurol;Fomycin,Phosphonic acid derivative,Antibiotic,false,Single dose administration;Take on empty stomach
Rifampicin,600 mg,Once daily,Tuberculosis;Leprosy,Orange-colored body fluids;Liver damage;Flu-like symptoms,Rifadin;Rimactane,Rifamycin,Antibiotic,false,Many drug interactions;Monitor liver function
Isoniazid,300 mg,Once daily,Tuberculosis,Liver damage;Peripheral neuropathy;Hepatitis,Rimifon;Isovit,Hydrazide derivative,Antitubercular,false,Give with pyridoxine;Monitor liver enzymes
Pyrazinamide,1500 mg,Once daily,Tuberculosis,Liver damage;Joint pain;Hyperuricemia,PZA;Pyrazinamide,Nicotinamide analogue,Antitubercular,false,Monitor liver function and uric acid levels
Ethambutol,1200 mg,Once daily,Tuberculosis,Eye damage;Color vision changes;Peripheral neuropathy,Myambutol;EMB,Ethylenediamine derivative,Antitubercular,false,Monitor visual acuity and color discrimination
Streptomycin,1 gm,Once daily,Tuberculosis;Plague,Hearing loss;Dizziness;Kidney damage,Streptomycin;Estreptomicina,Aminoglycoside,Antibiotic,false,Monitor vestibular and auditory function;Adjust dose in renal impairment
Capreomycin,1 gm,Once daily,Drug-resistant tuberculosis,Kidney damage;Hearing loss;Electrolyte imbalances,Capastat;Capreomycin,Polypeptide antibiotic,Antitubercular,false,Monitor renal function and hearing;Inject deeply IM
Cycloserine,250 mg,2 times daily,Drug-resistant tuberculosis,Psychosis;Seizures;Headache;Dizziness,Seromycin;Cyclomycin,Isoniazide derivative,Antitubercular,false,Monitor for neurological symptoms;Avoid alcohol
Para-aminosalicylic acid,4 gm,3 times daily,Drug-resistant tuberculosis,GI upset;Liver damage;Hypothyroidism,PAS;Aminosalicylic acid,Aminobenzoic acid derivative,Antitubercular,false,Take with food;Monitor thyroid function
Bedaquiline,400 mg,Once daily,Multidrug-resistant tuberculosis,Nausea;Joint pain;QT prolongation,Sirturo;Tbiquin,Diarylquinoline,Antitubercular,false,Monitor ECG;Use with caution in cardiac disease
Delamanid,100 mg,2 times daily,Multidrug-resistant tuberculosis,QT prolongation;Headache;Insomnia,Deltyba;Delamanid,Nitroimidazole,Antitubercular,false,Monitor ECG;Use in combination therapy
Clofazimine,100 mg,Once daily,Leprosy;Multidrug-resistant TB,Skin discoloration;GI upset;Dry skin,Lamprene;Clofazimine,Riminophenazine,Antileprotic,false,Skin discoloration reversible but may take months to fade
Dapsone,100 mg,Once daily,Leprosy;Pneumocystis pneumonia,Hemolytic anemia;Methemoglobinemia;Rash,DDS;Avlosulfon,Sulfone,Antileprotic,false,Monitor blood counts;Contraindicated in G6PD deficiency
Thalidomide,100 mg,Once daily,Leprosy reactions;Multiple myeloma,Birth defects;Peripheral neuropathy;Drowsiness,Thalomid;Talide,Immunomodulatory drug,Antileprotic,false,Strict pregnancy prevention;Required for PPP program
Acyclovir Ointment,5%,Apply 5 times daily,Herpes labialis;Genital herpes,Burning;Stinging;Itching,Zovirax ointment;Acivir cream,Nucleoside analogue,Antiviral,false,Start at earliest symptoms;For external use only
Ganciclovir,5 mg/kg,2 times daily,CMV retinitis;Bone marrow suppression;Kidney damage,Cymevene;Cytovene,Nucleoside analogue,Antiviral,false,Monitor blood counts;Teratogenic;Handle with care
Valganciclovir,900 mg,2 times daily,CMV retinitis;Bone marrow suppression;Kidney damage,Valcyte;Valgan,Nucleoside analogue,Antiviral,false,Monitor blood counts;Take with food
Foscarnet,60 mg/kg,3 times daily,CMV retinitis;Resistant herpes,Kidney damage;Electrolyte imbalances;Seizures,Foscavir;Foscarnet,Pyrophosphate analogue,Antiviral,false,Monitor renal function and electrolytes;Hydrate well
Cidofovir,5 mg/kg,Once weekly,CMV retinitis;Kidney damage;Eye inflammation,Viside;Cidovir,Nucleotide analogue,Antiviral,false,Give with probenecid;Monitor renal function strictly
Rimantadine,100 mg,2 times daily,Influenza A,Nausea;Insomnia;Dizziness,Flumadine;Rimantadine,Adamantane derivative,Antiviral,false,Not effective against influenza B;Start within 48 hours of symptoms
Zanamivir,10 mg,2 times daily for 5 days,Influenza,Bronchospasm;Allergic reactions;Headache,Relenza;Zanam,Neuraminidase inhibitor,Antiviral,false,Not for underlying respiratory disease;Use inhaler properly
Peramivir,600 mg,Single dose,Influenza,Diarrhea;Rash;Increased liver enzymes,Rapivab;Peram,Neuraminidase inhibitor,Antiviral,false,Single IV dose;Monitor for hypersensitivity
Baloxavir marboxil,40 mg,Single dose,Influenza,Diarrhea;Bronchitis;Headache,Xofluza;Baloxavir,Cap-dependent endonuclease inhibitor,Antiviral,false,Single oral dose;Take within 48 hours of symptoms
Letermovir,480 mg,Once daily,CMV prevention in transplant,Bone marrow suppression;Breathing problems;Swelling,Prevymis;Leterm,Terminase complex inhibitor,Antiviral,false,Many drug interactions;Monitor blood counts
Maraviroc,300 mg,2 times daily,HIV (CCR5-tropic),Liver damage;Allergic reactions;Cough,Selzentry;Maraviroc,CCR5 receptor antagonist,Antiviral,false,Must test for CCR5 tropism;Monitor for hepatotoxicity
Enfuvirtide,90 mg,2 times daily,HIV,Injection site reactions;Pneumonia;Diarrhea,Fuzeon;Enfuvirtide,Fusion inhibitor,Antiviral,false,Subcutaneous injection;Rotate injection sites
Ibalizumab,800 mg,Every 2 weeks,Multidrug-resistant HIV,Rash;Diarrhea;Dizziness,Trogarzo;Ibalizumab,Monoclonal antibody,Antiviral,false,IV infusion;Must use with other active agents
Fostemsavir,600 mg,2 times daily,Multidrug-resistant HIV,Nausea;Headache;Rash,Rukobia;Fostemsavir,Attachment inhibitor,Antiviral,false,Monitor for immune reconstitution syndrome
Doravirine,100 mg,Once daily,HIV,Dizziness;Abnormal dreams;Fatigue,Pifeltro;Doravir,Non-nucleoside reverse transcriptase inhibitor,Antiviral,false,Take with or without food;Monitor liver enzymes
Rilpivirine,25 mg,Once daily,HIV,Depression;Insomnia;Rash;Headache,Edurant;Rilpi,Non-nucleoside reverse transcriptase inhibitor,Antiviral,false,Must take with a meal;Not for high viral load
Cabotegravir,600 mg,Every 4 weeks,HIV prevention;Injection site reactions;Headache;Fever,Apretude;Cabotegravir,Integrase inhibitor,Antiviral,false,Long-acting injectable;Confirm HIV-negative before initiation
Rilpivirine/Cabotegravir,600/400 mg,Monthly injection,HIV;Injection site reactions;Headache;Fever,Cabenuva;Rilpigen,Long-acting combination,Antiviral,false,Monthly or bimonthly injections;Must be administered by healthcare professional
Isentress,400 mg,2 times daily,HIV,Insomnia;Headache;Muscle pain,Raltegravir;Ralt,Integrase inhibitor,Antiviral,false,Can be taken with or without food;Generally well-tolerated
Tivicay,50 mg,Once daily,HIV,Insomnia;Headache;Increased creatine kinase,Dolutegravir;Dolut,Integrase inhibitor,Antiviral,false,Take with or without food;Monitor for mood changes
Triumeq,1 tablet,Once daily,HIV,Insomnia;Headache;Nausea;Dizziness,Abacavir/Dolutegravir/Lamivudine,Fixed-dose combination,Antiviral,false,Screen for HLA-B*5701 before use;Monitor for hypersensitivity
Genvoya,1 tablet,Once daily,HIV,Headache;Diarrhea;Nausea,Elvitegravir/Cobicistat/Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Monitor renal function;Take with food
Biktarvy,1 tablet,Once daily,HIV,Headache;Diarrhea;Nausea,Bictegravir/Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Generally well-tolerated;Monitor renal function
Descovy,1 tablet,Once daily,HIV prevention;PrEP,Headache;Diarrhea;Nausea,Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Confirm HIV-negative before initiation;Monitor renal function
Truvada,1 tablet,Once daily,HIV prevention;PrEP,Headache;Diarrhea;Nausea,Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Confirm HIV-negative;Monitor renal function and bone density
Atripla,1 tablet,Once daily,HIV,Dizziness;Abnormal dreams;Rash,Efavirenz/Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Take on empty stomach;Monitor for neuropsychiatric effects
Complera,1 tablet,Once daily,HIV,Dizziness;Depression;Rash,Rilpivirine/Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Must take with a meal;Not for high viral load
Stribild,1 tablet,Once daily,HIV,Nausea;Diarrhea;Headache,Elvitegravir/Cobicistat/Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Take with food;Monitor renal function
Odefsey,1 tablet,Once daily,HIV,Dizziness;Depression;Headache,Rilpivirine/Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Take with a meal;Monitor for depression
Symtuza,1 tablet,Once daily,HIV,Nausea;Diarrhea;Rash,Darunavir/Cobicistat/Emtricitabine/Tenofovir,Fixed-dose combination,Antiviral,false,Take with food;Monitor liver enzymes
Dovato,1 tablet,Once daily,HIV,Headache;Diarrhea;Nausea,Dolutegravir/Lamivudine,Fixed-dose combination,Antiviral,false,Two-drug regimen;Monitor for mood changes
Juluca,1 tablet,Once daily,HIV,Headache;Diarrhea;Nausea,Dolutegravir/Rilpivirine,Fixed-dose combination,Antiviral,false,Two-drug regimen;Take with a meal
Bisoprolol,5 mg,Once daily,High blood pressure;Heart failure,Fatigue;Cold extremities;Slow heart rate,Concor;Cardicor,Selective beta-1 blocker,Antihypertensive,false,Do not stop abruptly;Caution in asthma
Valsartan,80 mg,Once daily,High blood pressure;Heart failure,Dizziness;High potassium;Low blood pressure,Diovan;Valtan,Angiotensin II receptor blocker,Antihypertensive,false,Contraindicated in pregnancy;Monitor potassium
Carvedilol,25 mg,2 times daily,High blood pressure;Heart failure,Fatigue;Dizziness;Weight gain,Dilatrend;Carvil,Non-selective beta blocker,Antihypertensive,false,Take with food;Monitor for worsening heart failure
Nebivolol,5 mg,Once daily,High blood pressure,Fatigue;Headache;Dizziness,Nebilet;Nebicard,Selective beta-1 blocker,Antihypertensive,false,May cause erectile dysfunction;Do not stop suddenly
Verapamil,80 mg,3 times daily,High blood pressure;Angina;Arrhythmias,Constipation;Headache;Low blood pressure,Isoptin;Verapamil,Calcium channel blocker,Antihypertensive,false,Avoid grapefruit juice;Monitor heart rate
Diltiazem,90 mg,Once daily,High blood pressure;Angina,Headache;Swelling;Dizziness,Cardizem;Dilzem,Calcium channel blocker,Antihypertensive,false,Do not crush sustained-release forms;Monitor liver function
Enalapril,10 mg,Once daily,High blood pressure;Heart failure,Dry cough;Dizziness;High potassium,Renitec;Enapril,ACE inhibitor,Antihypertensive,false,Monitor renal function;Contraindicated in pregnancy
Ramipril,5 mg,Once daily,High blood pressure;Heart failure,Dry cough;Dizziness;Headache,Tritace;Ramipril,ACE inhibitor,Antihypertensive,false,Take before food;Monitor kidney function
Quinapril,20 mg,Once daily,High blood pressure;Heart failure,Dry cough;Dizziness;Fatigue,Accupril;Quinapril,ACE inhibitor,Antihypertensive,false,Contraindicated in pregnancy;Monitor for angioedema
Perindopril,4 mg,Once daily,High blood pressure;Heart failure,Dry cough;Headache;Dizziness,Coversyl;Prestarium,ACE inhibitor,Antihypertensive,false,Take in morning;Monitor renal function
Telmisartan,40 mg,Once daily,High blood pressure,Dizziness;Back pain;Diarrhea,Micardis;Telma,Angiotensin II receptor blocker,Antihypertensive,false,Contraindicated in pregnancy;May take with food
Irbesartan,150 mg,Once daily,High blood pressure;Diabetic nephropathy,Dizziness;Muscle pain;Fatigue,Aprovel;Irbesartan,Angiotensin II receptor blocker,Antihypertensive,false,Monitor potassium;Contraindicated in pregnancy
Candesartan,8 mg,Once daily,High blood pressure,Dizziness;Headache;Respiratory infections,Atacand;Candesar,Angiotensin II receptor blocker,Antihypertensive,false,Take with or without food;Monitor renal function
Olmesartan,20 mg,Once daily,High blood pressure,Dizziness;Headache;Diarrhea,Benicar;Olmetec,Angiotensin II receptor blocker,Antihypertensive,false,Contraindicated in pregnancy;Monitor for sprue-like enteropathy
Eplerenone,50 mg,Once daily,Heart failure;High blood pressure,High potassium;Dizziness;Breast tenderness,Inspra;Eplerenone,Selective aldosterone blocker,Antihypertensive,false,Monitor potassium regularly;Avoid potassium supplements
Terazosin,5 mg,Once at night,High blood pressure;BPH,Dizziness;Weakness;Nasal congestion,Hytrin;Terazosin,Alpha-1 blocker,Antihypertensive,false,First dose may cause syncope;Take at bedtime
Prazosin,2 mg,2-3 times daily,High blood pressure,Dizziness;Headache;Palpitations,Minipress;Prazosin,Alpha-1 blocker,Antihypertensive,false,First dose effect common;Rise slowly from sitting position
Doxazosin,4 mg,Once daily,High blood pressure;BPH,Dizziness;Fatigue;Edema,Cardura;Doxazosin,Alpha-1 blocker,Antihypertensive,false,Take at bedtime;Monitor for orthostatic hypotension
Reserpine,0.1 mg,Once daily,High blood pressure,Nasal congestion;Depression;Diarrhea,Serpasil;Reserpine,Rauwolfia alkaloid,Antihypertensive,false,May cause depression;Avoid in peptic ulcer disease
Methyldopa,250 mg,2-3 times daily,High blood pressure in pregnancy,Drowsiness;Dry mouth;Liver damage,Aldomet;Methyldopa,Centrally acting alpha-2 agonist,Antihypertensive,false,Monitor liver function;May cause positive Coombs test
Clonidine,0.1 mg,2 times daily,High blood pressure,Dry mouth;Drowsiness;Rebound hypertension,Catapres;Clonidine,Centrally acting alpha-2 agonist,Antihypertensive,false,Do not stop abruptly;Monitor for rebound hypertension
Moxonidine,0.2 mg,Once daily,High blood pressure,Dry mouth;Headache;Dizziness,Physiotens;Moxonidine,Imidazoline receptor agonist,Antihypertensive,false,Take with food;Monitor for dry mouth
Hydralazine,25 mg,2 times daily,High blood pressure,Headache;Tachycardia;Lupus-like syndrome,Apresoline;Hydralazine,Direct vasodilator,Antihypertensive,false,Combine with beta-blocker;Monitor for lupus symptoms
Minoxidil,5 mg,Once daily,Severe hypertension,Fluid retention;Tachycardia;Hypertrichosis,Loniten;Minoxidil,Direct vasodilator,Antihypertensive,false,For resistant cases only;Monitor fluid status
Indapamide,2.5 mg,Once daily,High blood pressure,Low potassium;Increased uric acid;Dizziness,Fludex;Indapamide,Thiazide-like diuretic,Antihypertensive,false,Monitor electrolytes;Take in morning
Chlorthalidone,25 mg,Once daily,High blood pressure,Low potassium;Increased cholesterol;Impotence,Hygroton;Chlorthalidone,Thiazide-like diuretic,Antihypertensive,false,Monitor potassium;Take with food
Bumetanide,1 mg,Once daily,Edema;Heart failure,Low potassium;Dehydration;Muscle cramps,Bumex;Burinex,Loop diuretic,Diuretic,false,Monitor electrolytes;Take in morning
Torasemide,10 mg,Once daily,Edema;Heart failure,Low potassium;Increased uric acid;Dizziness,Demadex;Torasemide,Loop diuretic,Diuretic,false,Monitor electrolytes;More potent than furosemide
Ethacrynic acid,50 mg,Once daily,Edema,Hearing loss;GI upset;Electrolyte imbalance,Edecrin;Ethacrynic acid,Loop diuretic,Diuretic,false,Monitor hearing;Use when sulfa allergy present
Triamterene,50 mg,Once daily,Edema;High blood pressure,High potassium;Kidney stones;Dizziness,Dyrenium;Triamterene,Potassium-sparing diuretic,Diuretic,false,Monitor potassium;Avoid potassium supplements
Acetazolamide,250 mg,2-3 times daily,Glaucoma;Altitude sickness,Fatigue;Metabolic acidosis;Paresthesia,Diamox;Acetazolamide,Carbonic anhydrase inhibitor,Diuretic,false,Monitor electrolytes;Contraindicated in sulfa allergy
Mannitol,20%,IV infusion,Cerebral edema;Increased ICP,Fluid overload;Electrolyte imbalance,Osmitrol;Mannitol,Osmotic diuretic,Diuretic,false,Monitor renal function;Administer slowly
Desmopressin,0.2 mg,Once at night,Diabetes insipidus;Bedwetting,Headache;Hyponatremia;Nausea,Minirin;DDAVP,Vasopressin analogue,Antidiuretic hormone,false,Monitor sodium levels;Avoid fluid overload
Conivaptan,20 mg,IV infusion,Hyponatremia,Infusion site reactions;Hypotension;Thirst,Vaprisol;Conivaptan,Vasopressin receptor antagonist,Diuretic,false,Monitor sodium closely;Hospital use only
Tolvaptan,15 mg,Once daily,Hyponatremia,Thirst;Dry mouth;Liver damage,Samsca;Tolvaptan,Vasopressin receptor antagonist,Diuretic,false,Monitor liver function;Require hospitalization for initiation
Metolazone,5 mg,Once daily,Edema;Heart failure,Low potassium;Dehydration;Dizziness,Zaroxolyn;Metolazone,Thiazide-like diuretic,Diuretic,false,Monitor electrolytes;Synergistic with loop diuretics
Spironolactone,25 mg,Once daily,Heart failure;Edema;High blood pressure,High potassium;Breast tenderness;Menstrual irregularities,Aldactone;Spirotone,Steroidal aldosterone antagonist,Potassium-sparing diuretic,false,Monitor potassium regularly;Avoid potassium supplements
Eplerenone,25 mg,Once daily,Heart failure;High blood pressure,High potassium;Dizziness;Breast tenderness,Inspra;Eplerenone,Selective aldosterone blocker,Potassium-sparing diuretic,false,Monitor potassium;Fewer endocrine effects than spironolactone
Amiloride,5 mg,Once daily,Edema;High blood pressure,High potassium;Headache;Dizziness,Midamor;Amiloride,Potassium-sparing diuretic,Diuretic,false,Monitor potassium;Usually combined with thiazide
Hydrochlorothiazide,12.5 mg,Once daily,High blood pressure;Edema,Low potassium;Increased blood sugar;Dizziness,Esidrex;Hydrazide,Thiazide diuretic,Antihypertensive;Diuretic,false,Monitor electrolytes;Can cause dehydration;Increase potassium intake
Furosemide,20 mg,Once daily,Edema;Heart failure;High blood pressure,Low potassium;Dehydration;Dizziness,Lasix;Fruse,Loop diuretic,Diuretic,false,Monitor electrolytes;Can cause dehydration;Take in morning
Bendroflumethiazide,5 mg,Once daily,High blood pressure;Edema,Low potassium;Increased uric acid;Impotence,Naturetin;Bendroflumethiazide,Thiazide diuretic,Antihypertensive,false,Monitor electrolytes;Take with food
Cyclopenthiazide,0.5 mg,Once daily,High blood pressure;Edema,Low potassium;Increased cholesterol;Dizziness,Navidrex;Cyclopenthiazide,Thiazide diuretic,Antihypertensive,false,Monitor electrolytes;More potent than HCTZ
Xipamide,20 mg,Once daily,High blood pressure;Edema,Low potassium;Increased uric acid;Muscle cramps,Diurexan;Xipamide,Thiazide-like diuretic,Antihypertensive,false,Monitor electrolytes;Take in morning
Clopamide,20 mg,Once daily,High blood pressure;Edema,Low potassium;Increased glucose;Dizziness,Brinaldix;Clopamide,Thiazide-like diuretic,Antihypertensive,false,Monitor electrolytes;Similar to thiazides
Mefruside,25 mg,Once daily,High blood pressure;Edema,Low potassium;Increased uric acid;Rash,Baycaron;Mefruside,Thiazide-like diuretic,Antihypertensive,false,Monitor electrolytes;Take with food
Quinethazone,50 mg,Once daily,High blood pressure;Edema,Low potassium;Increased glucose;Dizziness,Hydromox;Quinethazone,Thiazide-like diuretic,Antihypertensive,false,Monitor electrolytes;Long duration of action
